AS23456,UN,4Byte ASN Place Holder
AS4788,MY,TMNET-AS-AP TM Net, Internet Service Provider
AS9299,PH,IPG-AS-AP Philippine Long Distance Telephone Company
AS4983,US,INTEL-SC-AS - Intel Corporation
AS9506,SG,MAGIX-SG-AP Magix Broadband Network
AS16960,MX,Cablevision Red, S.A de C.V.
AS18809,PA,Cable Onda
AS19817,US,DSLEXTREME - DSL Extreme
AS4802,AU,ASN-IINET iiNet Limited
AS4804,AU,MPX-AS Microplex PTY LTD
AS19108,US,SUDDENLINK-COMMUNICATIONS - Suddenlink Communications
AS25019,SA,SAUDINETSTC-AS Autonomus System Number for SaudiNet
AS6332,MX,Telefonos del Noroeste, S.A. de C.V.
AS6621,US,HNS-DIRECPC - Hughes Network Systems
AS4771,NZ,NZTELECOM Telecom New Zealand Ltd.
AS7657,NZ,VODAFONE-NZ-NGN-AS Vodafone NZ Ltd.
AS9790,NZ,CALLPLUS-NZ-AP CallPlus Services Limited
AS4648,NZ,NZIX-2 Netgate
AS18199,NZ,LINKTELECOM-NZ-AP Link Telecom (NZ) Limited
AS4768,NZ,CLIX-NZ TelstraClear Ltd
AS17746,NZ,ORCONINTERNET-NZ-AP Orcon Internet
AS55850,NZ,TRUSTPOWERLTD-AS-AP TrustPower Ltd
AS45586,NZ,AKGRAMMAR-AKL-NZ Auckland Grammar School
AS38793,NZ,NZCOMMS-AS-AP Two Degress Mobile Limited
AS58600,NZ,FLIP-AS-AP Flip Services Limited
AS9889,AU,MAXNET-NZ-AP Auckland
AS23655,NZ,SNAP-NZ-AS Snap Internet Limited
AS17492,NZ,VECTOR-COMMUNICATIONS-AS Vector Communications LTD.
AS24183,NZ,DTS-ISP-CORE1-AP DTS LTD
AS9432,NZ,CANTERBURY-AS University of Canterbury
AS4770,NZ,ICONZ-AS ICONZ Ltd
AS24398,NZ,AUT-NZ-AP Auckland University of Technology
AS10022,NZ,DSLAK-AS-AP Internet access for Datacom Systems Auckland
AS9245,NZ,COMPASS-NZ-AP COMPASS NZ
AS9303,NZ,KCCS-AS-AP KC Computer Service Ltd.,
AS38305,NZ,OTAGO-UNIVERSITY-AS-NZ-AP The University of Otago
AS9431,NZ,AKUNI-NZ The University of Auckland
AS9325,NZ,XTRA-AS Telecom XTRA, Auckland
AS17412,NZ,WOOSHWIRELESSNZ Woosh Wireless
AS2570,NZ,TAS-TELECOM-NZ Telecom New Zealand Ltd
AS17705,NZ,INSPIRENET-AS-AP InSPire Net Ltd
AS55853,NZ,MEGATEL-AS-AP Megatel
AS9876,NZ,AIRNET-HB-AS-AP NOW
AS38495,AU,TRANSPOWER-B-AS-AP Transpower New Zealand Ltd.
AS17435,NZ,WXC-AS-NZ WorldxChange Communications LTD
AS9503,NZ,FX-PRIMARY-AS FX Networks Limited
AS9872,NZ,ITNET-NZ-AS-AP Actrix Networks Ltd
AS23905,NZ,VUW-AS-AP Victoria University of Wellington
AS18021,NZ,UNINET-AS-AP Unisys NZ, IT Outsourcer,
AS55454,NZ,ORCONNET Orcon Internet Ltd
AS45738,NZ,MOBILE-SURGICAL-SERVICES-AP This is a company that provides specialized Video
AS45135,NZ,SNAP-REANNZ-AS-AP Snap National Distributed
