AS23456,UN,4Byte ASN Place Holder
AS14135,US,NAVISITE-EAST-2 - Navisite, Inc.
AS17147,CL,Ministerio del Interior y de Seguridad Publica - Gobierno de Chile
AS41798,KZ,TTC-AS JSC Transtelecom
AS6666,DE,HEADLIGHT-INTERN Headlight Housing Factory GmbH
AS51088,NL,A2B A2B Internet B.V.
AS12261,US,DEKALB - DTC Communications, Inc.
AS35632,FR,IRIS64-AS IRIS 64
AS45528,IN,TDN Tikona Digital Networks Pvt Ltd.
AS30703,US,SHSC-1-AS - SUNY Health and Science Center
AS29522,PL,KEI Krakowskie e-Centrum Informatyczne JUMP
AS27594,US,UTSA - University of Texas at San Antonio
AS23489,US,MARINK12 - Marin County Office of Education
AS2841,SE,CHALMERS Chalmers University of Technology
AS44265,RU,SMOLTELECOM-NET Smoltelecom Ltd
AS14676,US,REGUS - Regus Business Center, LLC
AS22801,US,INTAP-1 - Intap, LLC
AS18276,JP,KAISER Kansai University
AS21267,GB,IZR-AS Wavenet Limited
AS11581,CO,TRANSTEL S.A.
AS70,US,NLM-GW - National Library of Medicine
AS34081,IT,INCUBATEC-AS incubatec GmbH - Srl
AS17064,US,TISD-VIC - Testengeer Inc
AS31251,NL,NETGUARD-AS Falco Networks B.V.
AS8100,US,IPTELLIGENT - IPTelligent LLC
AS34282,GB,UKNOC-AS UKNOC AS
AS17014,US,NAIILLC - North Atlantic Internet, LLC
AS14472,CA,ATRIA - Atria Networks LP.
AS20439,US,PLANO-DATACENTER-AS - Intuit Inc.
AS16445,US,ISPACE - Wave2Wave Communications, Inc
AS23127,US,SOFNETINC - Sofnet, Inc.
AS28505,MX,Universidad Regiomontana, A.C.
AS12824,PL,HOMEPL-AS home.pl sp. z o.o.
AS9543,AU,WESTNET-AS-AP Westnet Internet Services
AS12703,GB,PULSANT-AS Pulsant (Scotland) Ltd
AS8061,US,BELLSOUTH-NET-BLK3 - Bellsouth.Net
AS9835,TH,GITS-TH-AS-AP Government Information Technology Services
AS6066,US,VERIZON-BUSINESS-MAE-AS6066 - Verizon Business Network Services Inc.
AS12485,DE,SMARTNET DNS:NET Internet Service GmbH
AS9172,MK,MK-MOL-AS Company for Computer Services and Trade MOL KOMUNIKACII DOOEL Skopje
AS20258,US,ANALOG-DEVICES - Analog Devices, Inc.
AS8271,CH,CH-IBS-AS8271 Internet Business Solutions AG
AS14513,US,DMACC - Des Moines Area Community College
AS51740,RU,ASZZZING Zing Ltd.
AS22302,US,INOC - INOC, LLC
AS49719,RO,HIGH-TECH-UNITED S.C. High Tech United S.R.L.
AS368,US,DNIC-ASBLK-00306-00371 - DoD Network Information Center
AS28717,DK,ZENSYSTEMS-AS Zen Systems A/S
AS7204,US,GIS - Galaxy Internet Services Inc.
AS8251,CZ,NFX_ZSPO FreeTel, s.r.o.
AS22166,US,DOTNET-INT - Granite Broadband, LLC.
AS8921,FR,FR-OC3NETWORK OC3 NETWORK
AS49266,RO,FLASHNET-AS SC FLASHNET SRL
AS5409,DE,TPL-ASN toplink GmbH
AS56876,DE,GPORTAL Ociris GmbH
AS48330,UA,GIGANET-UA-AS FOP Sinev Maksim Viktorovich
AS15031,CA,MAGMA-AS15031 - Magma Communications Ltd.
AS25584,PL,OPOLMAN-AS-COM Opole University
AS6386,US,BELLSOUTH-NET-BLK - BellSouth.net Inc.
AS49892,RU,TETATELECOM-AS _TETA TELECOM_ LLC
AS33543,US,NOBEL-NY - Nobel, Inc.
AS45916,IN,GTPL-AS-AP Gujarat Telelik Pvt Ltd
AS17768,AU,NEXTGENNET-AS-AU NextGen.Net Application Service Provider
AS7212,US,VANDERBILT - Vanderbilt University
AS12586,DE,ASGHOSTNET GHOSTnet GmbH
AS17563,PK,NEXLINX-AS-AP Autonomous System Number for Nexlinx
AS24976,GB,TECHGATE-COMMUNICATIONS Techgate PLC, London, UK
AS3926,US,FFX-CNTY - Fairfax County Dept of Information Technology
AS39857,FI,TKY-AS Aalto University Student Union
AS33120,US,VIRGINIA-BEACH-CITY-PUBLIC-SCHOOLS - Virginia Beach City Public Schools
AS43706,SA,ICCSAT Channels Center For Electronics Est
AS1812,US,CSC-300-AS1810-AS1815 - Computer Sciences Corporation
AS35289,GB,VERITAS-SOFTWARE Symantec Limited
AS36263,US,FORONA - Forona Technologies, Inc.
AS13224,KE,NAIROBINET
AS16880,US,TRENDMICRO Global IDC and Backbone of Trend Micro Inc.
AS7623,KR,HCNGYEONGBUK-AS-KR Gyeongbuk Cable TV
AS48289,IR,DSA-AS Dadeh Pardazan Sabz Alborz Co.(P.J.S.)
AS46115,US,LUTHER - Luther College
AS16626,US,GNAXNET-AS - Global Net Access, LLC
AS4373,US,OCLC-AS - Online Computer Library Center
AS24587,NL,NL-IO Integrated Internet Services B.V.
AS22051,US,BTES-AS - Bristol Tennessee Essential Services
AS55353,IN,RPNET-AS-AP RAJESH PATEL NET SERVICES PVT. LTD.
AS34781,CH,SIMA-LAUSANNE-AS Service Multimedia
AS9691,KR,KYUNGSUNG-AS KYUNGSUNG UNIVERSITY
AS5651,US,DESTEK - Friends of Synergytics
AS308,US,DNIC-ASBLK-00306-00371 - DoD Network Information Center
AS30064,US,FRONTIER-FRTR - Frontier Communications of America, Inc.
AS49158,GB,WIFINITY Wifinity Ltd
AS53195,BR,LOGTEL TELECOMUNICACOES E INFORMATICA LTDA ME
AS7926,US,FAIR-ISSAC-AS aut-num for customer fair issac
AS41151,RO,DIGITALIT-AS Digital IT Consulting SRL
AS48768,SE,BMNETWORKS BOSS MEDIA AB
AS813,US,UUNET-CANADA - MCI Communications Services, Inc. d/b/a Verizon Business
AS51056,MD,INETTEHNO Inet Tehno
AS58692,TH,DOTS-SOL-AS-AP DOTS Solutions Co., Ltd.
AS10171,KR,SKTELINK-AS SKTELINK
AS349,US,DNIC-ASBLK-00306-00371 - DoD Network Information Center
AS1147,EU,MCL-AS Medisch Centrum Leeuwarden
AS41700,DE,FESTO-AS Festo AG & Co. KG
AS20185,US,GEUS-CABLE-INTERNET - GEUS
AS11524,US,SEGNET - SEG Network Technologies
AS45773,PK,HECPERN-AS-PK PERN AS Content Servie Provider, Islamabad, Pakistan
AS11907,US,MSXI-INET - MSX International
AS17683,JP,WINTECH-COM Wingtechnology Communications, Inc.
AS14868,BR,COPEL Telecom S.A.
AS11025,US,COMCAST-HOUSTON - Comcast - Houston
AS22919,US,PCCNET - Portland Community College
AS45055,RU,DONTECHSVYAZ Dontechsvyaz, private joint stock company
AS54787,US,COUNSYL - Counsyl, Inc.
AS36024,US,COLO4-CO - Colo4, LLC
AS61367,KZ,ASBALKHASH TOO _B-TEL_
AS27576,ZW,AfOL-Zw-NET
AS22743,US,FIRST-AMERICAN-REIS - IS
AS47689,EU,IRM-AT-AS IRM Integriertes Ressourcen - Management GmbH
AS19362,US,VALUEACT-CAPITAL-MANAGEMENT-LP-ASN - ValueAct Capital Management, L.P.
AS44818,RU,ROYAL-SERVICE Royal Service LTD
AS15878,PL,WMC-NET WMC-NET Centrum Systemow Teleinformatycznych Sp. z o.o.
AS34364,RU,TATAISNEFT-AS LLC TatAISneft
AS10235,AU,NATIONAL-AUSTRALIA-BANK National Australia Bank Ltd Network
AS25247,ES,IBERCAJA-AS AUTONOMOUS SYSTEM OF IBERCAJA, A SPANISH BANK LOCATED ON ZARAGOZA
AS37232,GH,CTS
AS38109,KR,HINET-AS-KR Taegu Cable Network Co., Ltd
AS11168,US,SCC - SMART CHOICE COMMUNICATIONS, LLC
AS48011,SI,TELARGO Telargo d.o.o.
AS1699,US,ANS-1699-AS - ANS Communications
AS29263,NL,HAAGNET-AS HAAGnet, Municipality of The Hague network
AS26251,US,SIRIUS-1 - Prospeed.Net,Inc.
AS26578,US,NATIONWIDEASN2 - Nationwide Services, Inc
AS9518,AU,JDV-AU-AP JDV Limited
AS53206,BR,PROVEDOR FUTURA SC LTDA
AS46663,US,MARKETSTAR-AS - MARKETSTAR CORPORATION
AS27434,US,DG-FASTCHANNEL - DG
AS14365,US,ADOBE-NET - Adobe Systems Inc.
AS32809,US,DRN-AS - Dickey Rural Networks
AS26818,US,COL-PUB-SCHOOLS-OH - Columbus Public Schools
AS30049,US,METRO - Metropolitan Transit Authority
AS47273,PL,KSI-KR-AS KSI System Sp. z o.o.
AS14968,CA,PMI - Public Mobile Incorporated
AS53239,BR,Cia. de Governan\195\167a Eletr\195\180nica do Salvador
AS55884,AU,ORIONVM-AU OrionVM Cloud Platform
AS12241,US,NCTCNET-AS1 - Nebraska Central Telephone Company
AS6774,BE,ASN-BICS Belgacom International Carrier Services SA
AS6883,AT,Parlamentsdirektion
AS50463,IL,TRIPLEC-ASN Triple C Computation Ltd.
AS2842,SE,Goteborgs universitet
AS17932,JP,JAIST Japan Advanced Institute of Science and Technology
AS3685,US,BUFFALO-ASN - University of Buffalo
AS24786,DE,PSP-AS ProSiebenSat.1 Produktion GmbH
AS11999,US,REJISCOMM-NET - REJIS Commission
AS31642,SE,STADSNAT Regional Internet Exchange (RIX)
AS37094,LR,CELLCOM
AS50590,BY,NETBERRY-AS Private Unitary Enterprise for rendering of service _NETBERRY_
AS35937,US,MARQUISNET - MarquisNet
AS2134,ES,GSVNET-AS GS Virtual Network Produban
AS34006,FR,VEEPEE-ASN Veepee SAS
AS25674,US,AS25674 - Excel Telecommunications
AS55414,PK,WORLDCALL-AS-AP Worldcall Telecom Ltd.
AS5520,DE,UNI-KOELN Universitaet zu Koeln
AS36786,CA,UNIVERSITE-LAVAL - Universite Laval
AS58152,RU,RAILTECH-AS Limited Liability Corporation _RAILTECH_
AS24849,GR,DELTA DELTA S.A.
AS24416,CN,CNNIC-PRIMETELECOM-AP Beijing Primezone Technologies Inc.
AS3134,US,USAID-ASN - U.S. Agency for International Development
AS61360,RU,NOVOCHEK-AS Special Engineering and Design Bureau _Orbita_ JSC
AS7438,MX,Pegaso PCS, S.A. de C.V.
AS17557,PK,PKTELECOM-AS-PK Pakistan Telecommunication Company Limited
AS48837,RO,ALFA-WEB-AS SC ALFA WEB SRL
AS30914,GB,IOKO-AS AS for ioko365 Ltd
AS29282,FI,ENFO-FI-AS Enfo Oyj
AS15199,US,WWU - Western Washington University
AS13742,US,CENCOM-NEBR - CENCOM INC
AS38220,AU,SIS-GROUP-SYD-AS-AP SIS Group Datacentre Sydney
AS21980,VE,Dayco Telecom, C.A.
AS34912,IE,IFN-AS INTERFUSION INET AS
AS6656,GB,STARINTERNET Star Technology Services Limited
AS39953,US,HRBL-LAX-INTERNET-BGP - HERBALIFE INTERNATIONAL OF AMERICA, INC.
AS1295,US,BGNOGE - General Electric Company
AS35132,NO,ENIVEST-AS Enivest AS
AS44682,RO,TELECOMROMANIA SIL-MIRO COM SRL
AS12371,DE,AVENCY avency GmbH
AS8546,GB,YOUR-COMMS-UK-AS Thus Group Plc.
AS53093,BR,Antonio Alessandro Fittipaldi Molinari
AS19711,SZ,SWAZINET
AS31509,GB,W2NETWORKING W2 Networking Ltd
AS41816,RU,MEGALOG-PLUS-AS Megalog-Plus Ltd
AS48309,IR,AGS-AS Ariana Gostar Spadana
AS7233,US,YAHOO-US - Yahoo
AS48268,CZ,INTERFIBER-AS Inter Fiber s.r.o.
AS25969,US,SLU - St. Louis University
AS12668,RU,MIRALOGIC-AS LLC _KomTehCentr_
AS57179,RU,ASUKCM Upravlyauschaya kompaniya Centr Microfinansirovaniya Ltd.
AS54024,US,CFA-INSTITUTE - CFA Institute
AS40948,US,STRATUS-NETWORKS - Stratus Networks
AS48359,IR,HESABGAR-AS Hesabgar Pardaz Gharb Co. Private J.S.
AS9892,SG,ICONZ-WEBVISIONS-AP Iconz-Webvisions Pte. Ltd.
AS56291,JP,ACE-AS-AP Ace, Inc.
AS53369,US,EXTREMELINKCORP - extreme link Corporation
AS51351,CZ,ASOSKNET LTD Objedinennaja Setevaja Kompanija
AS38700,KR,SMILESERV-AS-KR SMILESERV
AS49693,RU,BEST-HOSTER Best-Hoster Group Co. Ltd
AS1125,EU,SURFnet Test Network
AS26198,CA,3MENATWORK - 3Men@Work Integrated Networks, Inc.
AS49505,RU,SELECTEL OOO _Network of data-centers _Selectel_
AS10993,US,AERIONET-INC - Aerioconnect
AS27856,CL,UNIVERSIDAD UNIACC
AS2641,US,TSRI-AS - The Scripps Research Institute
AS8291,RU,RSNET-AS RSNET
AS1493,US,DNIC-ASBLK-01492-01493 - Headquarters, USAISC
AS15936,UA,UTN Ukrtrans Network LLC
AS52268,AR,COPELCO LTDA. (CUTRAL-CO)
AS16428,US,SFS-AS1 - Store Financial Services, LLC
AS44416,UA,SNSUA-AS Satellite Net Service LLC
AS6040,US,DNIC-ASBLK-05800-06055 - DoD Network Information Center
AS42362,RU,ALANIA-AS OJSC Rostelecom
AS29979,US,PWN-ASBLK - Pioneer Broadband
AS1286,US,IVAS01 - Altay Corporation
AS37027,TZ,SIMBANET-AS
AS8683,GB,NOMINET Nominet UK
AS39582,TR,GRID Grid Bilisim Teknolojileri A.S.
AS31345,GB,MAGISTRAL2-AS Business Network JV
AS19048,US,CORIO - Corio, Inc.
AS8855,IT,ASN-PROMO PROMO.IT SRL
AS760,AT,University of Vienna, Austria
AS23395,US,ELIASSPORTSBUREAU - Elias Sports Bureau
AS21125,DK,EMPERION-AS Emperion Autonomous System
AS46093,US,PALM-BEACH-COUNTY-FLORIDA - Palm Beach County
AS8689,GB,POWERNETUK Power Internet Ltd.
AS42893,RU,NWLINK-AS Nord-West Link NP
AS49218,RU,NTKS-AS Nizhnetagilskie Kompyuternye Seti LLC
AS54369,US,VSDKET - Limited Brands Inc.
AS54473,US,DUKENET-COMMUNICATIONS - Dukenet Communications, LLC
AS49909,RO,DIRECT-ONE-AS DirectOne S.A.
AS34,US,UDELNET - University of Delaware
AS4651,TH,THAI-GATEWAY The Communications Authority of Thailand(CAT)
AS8536,HU,ASN-QWERTYNET QwertyNet
AS19503,US,NYMAGDIA-SPR-YIP - Magnetar Capital LLC
AS13119,PL,ACI-COM-AS Zachodniopomorski Uniwersytet Technologiczny w Szczecinie
AS52351,AR,Integral Insumos
AS37123,ZW,TELCO-ZW
AS24935,FR,AVENIR-TELEMATIQUE-PROJ AVENIR-TELEMATIQUE S.A.S.
AS1109,AT,UNI-SALZBURG University of Salzburg
AS4243,US,NC-FUNB-AS - WACHOVIA CORP
AS12097,US,MASSCOM - Massillon Cable Communications
AS24259,JP,BC9 kanuma cable television Corporation
AS24088,VN,HANOITELECOM-AS-AP Hanoi Telecom Joint Stock Company - HCMC Branch
AS12501,SE,NORRNOD An Internet Exchange point and ISP in Umea, Sweden
AS51310,PL,MATRONIX-AS MATRONIX Marcin Moczulski
AS12118,US,WVU - West Virginia University
AS19400,US,SPX-CORP-AS - SPX Corporation
AS29877,US,STS-TELECOM-AS-1 - STS TELECOM
AS24651,LV,LVBALTICOM-AS JSC BALTICOM
AS22819,BR,Funda\195\167\195\163o Universidade de Caxias do Sul
AS23151,US,TERC-1 - Technical Education Research Centers, Inc.
AS39657,IT,COMESER-AS Numero AS di Comeser
AS8058,US,TEXAS-COMMUNICATIONS-ISPDONE - Texas Communications, Inc.
AS35221,UA,UMSN-AS Ukrainian Multiservice Network, Ltd.
AS43749,HU,NAVIHU NAVIGATOR Informatika Ltd.
AS2129,GB,HP-EUROPE-AS-TRADE Hewlett Packard Limited
AS7263,US,GOFASTNET - gofast.net Inc.
AS10014,JP,NIHON-U Nihon University
AS12220,US,I-EVOLVE-TECHNOLOGY-SERVICES - I-Evolve Technology Services
AS16127,BG,EUROINTEGRA EuroIntegra Ltd.
AS35985,US,ONERINGNET-ATL-1 - One Ring Networks, Inc.
AS46300,CA,HSC-WAP - High Speed Crow Inc
AS28563,MX,Instituto Nacional de Salud P\195\186blica
AS13871,US,TELEBYTE-NW - Telebyte NW
AS29339,DE,MBBG-AS Markus Bach Betriebs GmbH
AS13132,DE,CYBERWAYS-AS cyberways Informationsdienste GmbH
AS25764,US,IFIBER-COMMUNICATIONS - iFiber Communications Corp.
AS50113,RU,SUPERSERVERS SuperServers Ltd
AS10292,JM,CWJAM ASN-CWJAMAICA
AS25549,RU,AVANTEL-AS Closed Joint-stock company Avantel
AS12124,US,THORN - Thorn Communications, Inc
AS44927,RU,TELECOM-MPK LLC Telecom MPK
AS31100,DE,SYNNET-WE synergetic AG
AS4683,JP,PAS Phase One, Inc.
AS40497,US,BETHEL-ASN1 - Bethel University
AS34388,TR,MAYANET Maya Iletisim Ticaret Limited Sirketi
AS2535,US,BP-UK BP Internet UK
AS30838,PL,TELPOL Jerzy Krempa _Telpol_ PPMUE
AS23568,KR,CRA-AS-KR Cycle Racing Association
AS24512,JP,HAL-INTERNET HAL Internet, Internet Service Provider, Tottori, Japan
AS41629,DE,UTIWORLDWIDE UTi Deutschland GmbH
AS2902,US,WN-WY-AS - University of Wyoming
AS60875,MD,SKYTELECOM Stacom Sistem SRL
AS34803,GI,BGL Broadband Gibraltar Ltd
AS13122,GB,MANX-AS MANX-TELECOM Autonomous System
AS6302,US,TELSCAPE-COMMUNICATIONS - Telscape Communications, Inc.
AS8480,RU,USATU-AS State educational institution of higher education _State Aviation Technical University of Ufa_
AS33491,US,COMCAST-33491 - Comcast Cable Communications, Inc.
AS50214,RU,QWARTA QWARTA LLC
AS55618,KR,UOU-AS-KR UNIVERSITY OF ULSAN
AS36427,US,VASSAR-ASN1 - Vassar College
AS6254,US,EGGINC - EG&G, Inc.
AS11691,US,EVOCATIVE - Evocative, Inc.
AS34968,NL,IUNXI Trixit Holding B.V.
AS25086,RU,URALTC-AS CJSC _COMSTAR-regions_
AS17960,JP,RAINS University of the Ryukyus
AS49608,RU,ALDIS-TELECOM-AS ALDIS Telecom Ltd
AS45653,AU,ACURE-AS-AP aCure Technology, Data Centres, Perth
AS40688,CA,CSOLVE-AS-BAR1 - Compu-SOLVE Technologies, Inc.
AS3219,HU,HU-GOVNET Ministry of Local Government and Regional Development
AS23277,US,SMARTCITY-SAN-DIEGO - Smart City Networks, L.P.
AS32071,US,WKU-AS - Western Kentucky University
AS30497,US,GTBAS - Global Telecom Brokers
AS28951,SI,ATNET-AS Atnet d.o.o. Koper
AS25946,CA,NETACCESS-SYSTEMS - NetAccess Systems Inc
AS46806,US,DIRECT-ASN-01 - Direct Colocation, LLC
AS52750,BR,Funda\195\167\195\163o Centros de Ref. em Tecnologias Inovadoras
AS9988,MM,MPT-AP Myanma Posts and Telecommunications
AS12550,RU,OSS Corp
AS47187,IT,FORINICOM Forinicom S.r.l.
AS31423,PL,PROMAX-AS Przedsiebiorstwo _PROMAX_ Spolka Jawna Zofia Formanek-Mroczkowska Wieslaw Okroj
AS50558,IR,SYSTEC-AS Rayaneh Pardazan Baran Co. Ltd.
AS35726,RO,GENERALI Generali Romania Asigurare Reasigurare S.A.
AS57389,HU,ZNET-MIKRONET-HU-AS ZNET-Mikronet Kft.
AS8524,EG,eg-auc
AS19151,US,WVFIBER-1 - WV FIBER
AS49902,FR,SRR-AS CEGETEL LA REUNION
AS47206,FR,RENNES-TELECOM-AS Rennes Metropole Telecom Participation
AS21748,US,SKYCOM1 - Pecquet, Adair, Freeland, Ober LLC
AS14607,US,OTA - OTA Management LLC
AS38848,TW,YMU-AS-TW National Yang-Ming University
AS49342,RU,SPEEDYLINE Speedyline Ltd
AS14535,AR,Techtel LMDS Comunicaciones Interactivas S.A.
AS23403,US,THE-COURIER-JOURNAL-AS - The Courier-Journal, inc.
AS55475,JP,IMPACT-AS-AP Impact Co Ltd
AS39550,GB,KPMG-UK-LLP-AS KPMG UK LLP
AS14859,US,CAC-ASN - CENTRAL ARIZONA COLLEGE
AS47215,DE,FILOO-ASN filoo GmbH Autonomous System
AS6623,US,CBSI-1 - CBS Interactive Inc.
AS23740,AU,NESTLE-AOA-MULTIHOME Nestle Globe Centre AOA
AS52748,BR,Seitel - Seixas Telecomunica\195\167\195\181es
AS38288,AU,SERVICENET-AS-AP Government Organisation
AS21056,IT,ASN-WELCOMEITALIA Welcome Italia S.p.A.
AS40839,US,KOHLS-ECOM - KOHLS DEPARTMENT STORES
AS40099,US,EOT - EMPIRE ONE TELECOMMUNICATIONS, INC.
AS3606,US,CONNCOLL-AS - Connecticut College
AS34119,GB,WILDCARD-AS Wildcard UK Ltd
AS10912,US,INTERNAP-BLK - Internap Network Services Corporation
AS33788,SD,KANARTEL
AS34141,NL,IN2IP-AS in2ip B.V. i.o.
AS16154,BG,TELECOMS-AS Telecoms-Net Ltd.
AS11177,US,QUESTAR - Questar
AS19215,US,ENERGIZE - Pulaski Electric System
AS1663,EU,BERTELSMANN Bertelsmann AG
AS31941,US,ILS - The Nexus Group, Inc.
AS10316,US,CODERO-AS - Codero
AS18069,JP,SOFTBANK SOFTBANK TECHNOLOGY CORP.
AS39738,ES,TCLM-AS Telecom Castilla La Mancha
AS27534,US,AS27534 - Mutual of Omaha Insurance Company
AS6522,US,LEHIGH - Lehigh University
AS32313,US,ASNUMBERFORNEXTAG - Nextag Inc.
AS21808,US,PRLSS - Peerless Network LLC
AS38628,JP,WINK-NET HIMEJI CABLE TELEVISION CORPORATION
AS37532,ZM,ZAMREN
AS34457,DE,AMB-GENERALI Generali Deutschland Informatik Services GmbH
AS2571,CZ,DHL-AS DHL Systems Inc.
AS4531,US,MEDWEB - Nexsys Electronics, Inc.
AS29580,BG,HOMELAN-AS MOBILTEL EAD
AS12618,PL,PL-BYDMAN-COM Commercial Users
AS10732,US,TIERRANET - TierraNet Inc.
AS7453,US,ACCELERATION - ACCELERATED DATA WORKS, INC.
AS43373,SA,P-GROUP_AS P-Group Saudi Arabia
AS37054,MG,DTS
AS56495,RU,LIDERTELECOM-AS LeaderTelecom Ltd.
AS12629,FR,OPTION-SERVICE Option Service SAS
AS51701,SE,ADMINOR Adminor AB
AS18022,CN,CHENGTONG-AP FoShan SHITONG Information Broadband Networks CO.LTD
AS15463,GB,NETWORKI-AS Network-i Limited
AS39052,SE,SKANSKANET-AS Skanska IT Nordic Sweden AB
AS26801,US,ZITOMEDIA611 - Zito Media, L.P.
AS10966,US,ALASKA-AIR - Alaska Airlines, Inc.
AS50059,FR,ASN-MYSTREAM MYSTREAM
AS16988,US,IPAPER - International Paper
AS31236,IS,RVK-AS Reykjavik City Hall
AS34361,BG,LINKBG-AS LinkBG Ltd.
AS40122,US,MORTGAGE-INFORMATION-SERVICES-INC - Mortgage Information Services INC
AS36817,CA,MCSNET - MCSNet
AS11829,US,CADENCE - Cadence Design Systems, Inc.
AS20448,US,VPNTRANET-LLC - VPNtranet, LLC.
AS26121,US,JEPPESEN - Jeppesen
AS17465,IN,ASIANET Cable ISP in India
AS17543,AU,MELB-IT-US-AS Melbourne IT US
AS15352,US,TCCC - The Coca-Cola Company
AS28756,NL,EPO-AS European Patent Office
AS17094,US,MUTOMAHA-I - Mutual of Omaha Insurance Company
AS18031,KR,SANGMYUNG-AS-KR Sangmyung University
AS20015,CL,FullCom S.A.
AS42885,FI,PARTEL Paraisten Puhelin Oy
AS27808,VE,Centro Nacional de Tecnolog\195\173as de Informaci\195\179n (CNTI)
AS26891,US,MICROTECH-TEL - Microtech-tel
AS16713,US,NOANET-WA - Northwest Open Access Network
AS11880,US,TICKE-19-ASN - Tickets.com, Inc.
AS11194,US,NUNETPA - NuNet Inc.
AS50994,PL,E-SBL-AS e-SBL.net Sp. z o.o
AS23870,IN,UNITECH-WIRELESS-IN 6 Community Center
AS12178,US,INTERNAP-2BLK - Internap Network Services Corporation
AS14454,US,PERIMETER-ESECURITY - Perimeter eSecurity
AS13624,US,SNC-SPARKS - Sierra Nevada Corporation
AS54003,US,ULS-LLC - Urban Lending Solutions
AS54509,US,LTX-DH6 - SABRE HOLDINGS CORPORATION
AS24129,AU,OFFICELINK-AS-AP OfficeLink Plus Pty Ltd
AS18413,TW,GBTC-TW Great Taipei Broadband Company Ltd.
AS51042,RU,KLIMOVSK-AS Klimovsk network Ltd
AS28263,BR,Ensite Brasil Telecomunica\195\167\195\181es Ltda - ME
AS30145,US,SKYLIST - SKYLIST INC
AS30988,NG,ISInternetSolutions
AS22523,US,NMCOURTS-ASN - State of NM Administrative Office of the Courts
AS32019,US,ADACORE - Ada Core Technologies, Inc.
AS30458,US,NIUTECH-ASN - NiuTech
AS10299,CO,EMCATEL
AS16718,US,EMBARQ-HMBL - Embarq Corporation
AS57608,PL,DGNET dg-net.pl Anna Lis
AS14353,US,DAVITA-DALLAS - DAVITA INC
AS15533,GB,SASEUROPE SunGard Availability Services (UK) Ltd
AS56330,RU,KURGAN-AS CJSC _ER-Telecom Holding_
AS41356,PL,SMGR-AS Spoldzielnia Mieszkaniowa w Grudziadzu
AS39102,RU,AS-PNTL SatTel Corporation, Ltd.
AS20597,RU,ELTEL-AS OJSC _Vimpelcom_
AS54699,US,APPCELERATOR-HDQT01 - Appcelerator, Inc.
AS11602,US,SDSMT-AS - South Dakota School of Mines and Technology
AS23631,JP,KISNET Sofu System, Inc
AS25406,LT,SPLIUS-AS SPLIUS, UAB
AS57998,PL,ANFA-PL P.I.W. ANFA S.C.
AS11240,US,ACCESSATC - AccessATC
AS12028,US,MMINTERNET - MM Internet, Inc.
AS3738,US,SSB-ASN - State Street Bank and Trust Company
AS15434,DE,BARTELS-AS mvox AG
AS14890,US,HAYBOONET - Haynes and Boone, L.L.P.
AS34287,RU,VOLGOGRAD-GSM-AS CJSC Volgograd-GSM
AS44622,RU,MTK-MOSINTER-AS ZAO MTK MOSINTER
AS43667,RU,VRMNT-AS Vermont-IT Limited Liability Company
AS35006,IT,CAMERA-AS Camera dei Deputati
AS42707,NL,EQUEST-AS e-Quest Automatisering B.V.
AS41557,MK,MEGANET-AS Meganet
AS57353,DE,VITROCONNECT-AS vitroconnect GmbH
AS29385,UZ,BUZTON-JV-AS BUZTON J.V.
AS24342,BD,BRAC-BDMAIL-AS-BD BRAC BDMail Network Ltd.
AS19972,US,DIGEO-BROADBAND - Digeo Broadband Partners Inc.
AS44208,IR,FARAHOOSH Farahoosh Dena
AS54036,US,CHES-NET - Clean Harbors Environmental Services, Inc.
AS32491,CA,TUCOWS-3 - Tucows.com Co.
AS54060,US,POUDRESCHOOLDISTRICT - Poudre School District R-1
AS27506,US,RBS-NYC - Sidera Networks LLC
AS37363,ZA,FAIRCAPE
AS22541,BO,MegaLink
AS38987,PL,OST-AS Okregowa Spoldzielnia Telefoniczna w Tyczynie
AS25575,AT,DOMAINTECHNIK Ledl.net GmbH
AS12090,US,NET-AAA - AAA National
AS17940,JP,CYBERLINKS CYBER LINKS Co.,Ltd.
AS22719,US,ATLANTICBB-JOHNSTOWN-2 - Atlantic Broadband Finance, LLC
AS13039,DE,GLOBAL-VILLAGE Global Village GmbH
AS40308,US,WB - Viasat Communications Inc.
AS16815,US,CITRIX_ONLINE_LLC-16815 Citrix Online LLC
AS13270,DE,VERSATEL-OST Versatel Deutschland GmbH
AS39347,RO,SELL-AS Stylish by A & L SRL
AS53823,US,SMTA - Scio Mutual Telephone Association
AS22759,US,ASTOUND-CABLE - Wave Broadband
AS48438,UA,CORBINA-AS Corbina Telecom LLC
AS29100,DK,BROADCOMDK Sagitta ApS
AS37212,GH,ZENITH-BANK-GH
AS13720,US,SONYONLINE - Sony Online Entertainment, LLC
AS2551,US,LVLT-2551 - Level 3 Communications, Inc.
AS42555,BG,OPTIC-COM-EU OPTICCOM- BULGARIA Ltd.
AS3110,US,HOLONET - Information Access Technologies, Inc.
AS8158,US,LUCENT-WHATS - LGS Innovations, LLC
AS36031,CA,Q9-AS-BRAM - Q9 Networks Inc.
AS14651,CA,RSLCOMCA-1 - RSL COM Canada Inc.
AS9692,KR,HWS-AS HANWHA SECURITIES CO .,LTD
AS7991,US,SAVVISSTL - SAVVIS COMMUNICATIONS
AS52312,AR,TV MUSIC HOUSE JUJUY
